,County,Median Sale Price,Average Sale Price
719,Litchfield,188533.65,345432.72
720,Litchfield,200119.52,257949.09
721,Litchfield,226451.03,274580.08
722,Litchfield,222346.48,275786.61
723,Litchfield,221184.73,264024.18
724,Litchfield,208545.6,264163.86
725,Litchfield,200119.52,276315.65
726,Litchfield,215918.43,282665.87
727,Litchfield,237773.59,281498.23
728,Litchfield,195571.53,277765.38
729,Litchfield,193490.99,244886.99
730,Litchfield,197652.08,276459.24
731,Litchfield,243424.14,360964.64
732,Litchfield,235362.02,315887.62
733,Litchfield,260068.53,396458.96
734,Litchfield,264511.02,330547.15
735,Litchfield,268286.69,374944.38
736,Litchfield,273071.96,380512.66
737,Litchfield,278533.39,377823.08
738,Litchfield,252266.47,356596.96
739,Litchfield,270471.27,369930.33
740,Litchfield,235000.0,364027.48
741,Litchfield,248000.0,315508.27
742,Litchfield,217300.0,310619.77
743,Litchfield,245000.0,308995.37
744,Litchfield,250000.0,401051.6
745,Litchfield,247000.0,343079.16
746,Litchfield,265000.0,347221.93
747,Litchfield,260000.0,337142.8
748,Litchfield,252043.5,352563.24
749,Litchfield,255000.0,312237.35
750,Middlesex,226616.22,255603.52
751,Middlesex,197721.5,242720.47
752,Middlesex,241828.6,247683.62
753,Middlesex,228140.19,256499.82
754,Middlesex,227988.1,252791.58
755,Middlesex,237265.8,276325.17
756,Middlesex,228140.19,256759.13
757,Middlesex,236505.33,269457.42
758,Middlesex,258558.89,298145.11
759,Middlesex,228140.19,260843.49
760,Middlesex,238786.74,299432.95
761,Middlesex,228140.19,287739.37
762,Middlesex,232042.24,249198.52
763,Middlesex,221188.65,267198.38
764,Middlesex,253000.89,314714.35
765,Middlesex,220065.87,262751.43
766,Middlesex,247012.71,278601.61
767,Middlesex,254497.94,295483.28
768,Middlesex,258240.56,308018.33
769,Middlesex,267222.84,341541.02
770,Middlesex,291175.58,349402.87
771,Middlesex,267971.36,317780.12
772,Middlesex,243270.09,278334.25
773,Middlesex,276953.64,331269.79
774,Middlesex,219512.61,271115.57
775,Middlesex,226829.7,271146.72
776,Middlesex,276439.55,293073.27
777,Middlesex,279659.06,321012.37
778,Middlesex,263268.79,325840.52
779,Middlesex,300000.57,359285.08
780,Middlesex,280976.14,330819.98
781,Middlesex,307317.65,349694.04
782,Middlesex,285366.39,331959.67
783,Middlesex,292683.48,359394.29
